Id	Tweets	Lang	Location
1225669664333676544	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	North Carolina 
1225669346099204097	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	Arizona
1225668692547002368	RT @SansMerci89: When you put your money where your mouth is, pro climate change then I hope you do well with the #2020election, @MikeBloom…	en	Missouri, USA
1225668686205177860	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	California, USA
1225668623387119616	When you put your money where your mouth is, pro climate change then I hope you do well with the #2020election,… https://t.co/DxPlMb2VNO	en	Vancouver, WA
1225668556253102080	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	Bay Area, CA
1225668373947633665	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	
1225668122356531207	RT @OeivindLundberg: @jtuckermartin @Brian_Chovanec Watching from outside, from Norway, it's like a reality show gone wrong. This is such a…	en	
1225667886481473543	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	north county san diego
1225667272905121794	@IngrahamAngle WINNING #2020election	en	
1225666746910007296	"@Barnes_Law @prayingmedic It's going to be Donald Trump vs ""a socialist"" aka Bernie in the #2020election 

America… https://t.co/0hOv5buVQW"	en	Melbourne, Australia
1225666499156664328	RT @TheBlueJarhead: We are all pissed off, justice was interfered with by the GOP. Now it's our turn. It's time to start hitting the street…	en	Trying to turn Arizona 🌊
1225666403065163776	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	USA
1225665967474143233	https://t.co/BOLSz9VhfN #ecs another good source	en	Colorado Cameroun
1225665922355957761	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	
1225665777845460994	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	Australia
1225665155964366848	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	Texas
1225665033796894720	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	
1225664736173293569	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	
1225664704246214662	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	w| the best of them
1225664686424649728	"%  _____ Sanders/Warren/Yang
. #nonbinary people: 59/15/06
.._multiracial_people: 48/16/19
non-staunch #Dems: 41/18… https://t.co/FcxFjeKHgB"	en	
1225664629554044928	@realDonaldTrump @LouDobbs #Racisme is the new standard...?  #GOP  #KKK #FoxNews #FoxAndFriends #2020election… https://t.co/kRLvfvxMt9	en	lives in Flanders, Belgium
1225664460787863552	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	San Jacinto 
1225664369775673345	There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats… https://t.co/NKHR4hXFU6	en	Phoenix, AZ
1225664101910605824	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	North Carolina and Wash,DC
1225664008797052931	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	Marin County, Fairfax
1225663964110934016	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	
1225661909422100480	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	Washington, USA
1225661732380504064	"@MikeBloomberg you do this in every video...cant handle the #Truth 
#Trump2020 #2020election #WalkAway #everyvideo https://t.co/QGOsewupJy"	en	abandoned, USA
1225661360828108800	"Got my vote! 

#shamrockshake #oreoshake #oreoshamrockshake #mcdonalds #2020election #defeattrump #anyonebuttrump… https://t.co/RWZiTOWQeI"	en	United States
1225661241252691969	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	Milwaukee, WI
1225661210600734721	RT @TheBlueJarhead: We are all pissed off, justice was interfered with by the GOP. Now it's our turn. It's time to start hitting the street…	en	Michigan, USA
1225660569681715200	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	United States
1225660014167093250	"RT @Varneyco: STU: ""They've dragged our President and our country through the dirt and now the jig is up! With leaders like Pelosi, Schumer…"	en	
1225659699237752833	@angela_rye so all trump voters are Bigot??  Here is what you said and that is not right sister... regardless of ho… https://t.co/SwDM4cXkDq	en	Las Vegas, NV
1225659613866913793	"RT @Varneyco: STU: ""They've dragged our President and our country through the dirt and now the jig is up! With leaders like Pelosi, Schumer…"	en	
1225659415576973313	RT @dubiouslair: Getting on it here in California....#maga @POTUS #2020election #QAnon https://t.co/F7Y0e7iO7U	en	
1225659393347162113	RT @TheBlueJarhead: We are all pissed off, justice was interfered with by the GOP. Now it's our turn. It's time to start hitting the street…	en	Alabama, USA
1225659017780838403	#AdamSchiff told you and told you #ImpeachedForLifePresident will do it again, cannot be trusted, will cheat… https://t.co/pP3ai0Vo87	en	Elverta
1225658367739228163	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	Ontario, Canada
1225657977102716928	"RT @Varneyco: STU: ""They've dragged our President and our country through the dirt and now the jig is up! With leaders like Pelosi, Schumer…"	en	United States
1225657954038206464	"#ForeverForwards 

The internal attacks on our political system &amp; the Republic by our elected elite will hurt us no… https://t.co/6HU3WyWpYg"	en	Levittown, NY
1225657942470320131	Fucking insane #2020election  https://t.co/nCiyUSxYqI	en	Chicago, IL
1225657611434905601	"RT @Varneyco: STU: ""They've dragged our President and our country through the dirt and now the jig is up! With leaders like Pelosi, Schumer…"	en	
1225657399622557696	RT @midoriha_senpai: #PeteOnCNN #TownHall was absolute trash!! @ChrisCuomo basically answered his questions &amp; framed him only positively. N…	en	Los Angeles, CA
1225657381247311872	"RT @midoriha_senpai: ""Shoot for the moon. Even if you miss, you'll land among the stars."" 🌛⭐❤️ #DNCRigging #DNCisCorrupt #BernieWillWin #Bo…"	en	Los Angeles, CA
1225657151999266819	"RT @Varneyco: STU: ""They've dragged our President and our country through the dirt and now the jig is up! With leaders like Pelosi, Schumer…"	en	Past perf no guarantee of futr results
1225656859522031623	#2020election  it looks like Dems will bypass the chance to nominate a woman for President	en	Missouri, USA
1225656526729146368	RT @Think4Yoursel13: Alright folks.... I’m off to bed. Here your future if @BernieSanders wins the #2020Election. Must never happen!! Make…	en	
1225655942882029569	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	growing, discovering, learning
1225655692255588352	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	Pennsylvania, USA
1225655690322046976	RT @reallouiehuey: Trump keeps winning and the far left is mad so they are banning all of us right now. The far left and Democrats are medd…	en	Melbourne, Victoria
1225655576371183622	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	
1225654975524589570	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	Portland Oregon
1225654832469438464	"RT @XposeBlackCrime: #Trump's State of the Union Address https://t.co/LMpbLL1wBK via @YouTube
#Tcot #Tgdn #Ccot #Teaparty #Pjnet #P2 #Gop #…"	en	New Jersey, USA
1225654726164746241	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	Homosassa FL
1225654145887006721	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	
1225654138509254656	"""Shoot for the moon. Even if you miss, you'll land among the stars."" 🌛⭐❤️ #DNCRigging #DNCisCorrupt #BernieWillWin… https://t.co/2LAR1xwvjQ"	en	California's Central Coast
1225653866009464834	"(#Liberal Insanity)!!
Judicial Watch - U.S. to Spend $700,000 on #Eswatini’s “National #Condom Strategy” -… https://t.co/GCaDPmNFK5"	en	New Jersey, USA
1224655745561419776	Desh Badla hai ab Dilli badlenge mtlbb Kya hai Dilli desh SE Bahar hai Kya .kuch samjha nahi koi batyega iska matlb… https://t.co/CP5sRoAxTD	hi	Delhi, India
1224566981837246466	"@ndtv @ShuklaRajiv आखिर क्यों ना हो मोदी जी को पाकिस्तान प्यारा ।

  बाल नरेंद्र

 भेड़िया भेड़िया आया चिल्लाकर बु… https://t.co/4I2ATkEcea"	hi	India
1224475057667227649	@BJP4Delhi हा जिस तरह दूसरे स्टेटस को बना दिया भाईयो ये बीजेपी कचरे स मुक्त नी कराएगी बल्कि और कचरा फेला देगी यकीन… https://t.co/BwsmGVmLeY	hi	New Delhi, India
1223626488781643777	केजरीवाल सरकार के 2020 प्रचार के दौरान आप सरकार ने नियमों का किया उलंघन #BJP4Delhi #ArvindKejriwal #NarendraModi… https://t.co/93c4CDxbOR	hi	
1225684081771368448	Sheila Dixit made Delhi a Green City. Congress will continue her initiative and increase green cover to 30%.To redu… https://t.co/Sq1yOtUV7F	en	
1225684060581687302	"RT @jellyx20: My prediction 

BJP : 38-43
AAP : 26-30
Cong : 🖕

#DelhiElections2020"	en	हृदय
1225684053581451266	#DelhiPolls: Union Home Minister and former Bharatiya Janata Party chief #AmitShah has instructed all party cadres… https://t.co/r3YlWKjJsp	en	New Delhi
1225684020131856385	"RT @srikanthbjp_: No Presstitutes will speak on these kids being taught hate &amp; revenge

#ShaheenBagh 

#DelhiElections2020 https://t.co/mYp…"	en	
1225684010229104646	"RT @Morewithshashi: Right now, Mood of the Delhi.
Stay tuned. Stay aware.
#DelhiElections2020 https://t.co/KJ3edc0zRH"	en	
1225684002876452866	"EVM is hacked, if u press BJP button then only vote will go to AAP.
If you press AAP button then u know how it work… https://t.co/4mu9YzlHIj"	en	India
1225683982278221827	"Last jumma  today before #DelhiElections2020 

They will be sermoned poll by poll to vote for the party which can d… https://t.co/zOev3m4K2T"	en	New Delhi, India
1225683960157495296	"kids - valentines week 
legends - delhi elections 
#DelhiElections2020 #valentinesweek"	en	India
1225683952397979648	RT @GargiRawat: #KapilGujjar's brother and father claim he's not AAP member.. pictures were from the time AAP campaigned in their village.…	en	Mumbai
1225683925739040768	"No Presstitutes will speak on these kids being taught hate &amp; revenge

#ShaheenBagh 

#DelhiElections2020 https://t.co/mYpj6oMao0"	en	Bharath
1225683903681200128	"RT @InquilabAzad: Dear Delhites,

Vote for  any symbol viz., Shuttle cock, ball, badminton racket, Jhadoo, hand but Not for blood stained L…"	en	
1225683844235325440	"RT @denergieshot: 1. Give Your Shot! Predict the Winner of #DelhiElections 

2. Stand A Chance To Win✌️.

Simple Rules:

* Follow @denergie…"	en	भारत
1225683787788324864	That time of the campaign when BJP's infamous loot through electoral bonds is spent...on distributing free daaru an… https://t.co/J11abQGUQO	en	Online
1225683765092990980	Dry Days are great for teetotalers like me. I can go to my favourite popular restaurants without having to reserve… https://t.co/X6cnmfaysU	en	New Delhi
1225683751704748032	"BJP is winning Delhi for Sure. 

Don't waste your VOTE in AAP this time as  we won't same strong numbers as AAP did… https://t.co/RPv79VGcr8"	en	Gurgaon, Haryana
1225683730687070208	"RT @jay_bhadrakali1: Breakfast 

Me: vote for Congress? 
Mom: dekhoongi

after 5 mins

Mom: meri mummy pukki Congress supporter thi. Wo bhi…"	en	India
1225683656481501184	"RT @desimojito: My prediction 
BJP : 39-42
AAP : 27-30
Cong : 0-2 

#DelhiElections2020 🥰"	en	Gurgaon
1225683613490057216	55 MLAs are re-contesting #DelhiElections2020. On average, they own assets worth over Rs. 7 crores. How rich is the… https://t.co/MhKbV7HfKK	en	Mumbai, India
1225683610176376833	RT @The_Wa_Na: INC is able to even stand in #DelhiElections2020 just because of its candidates' goodwill.. not ideology, not manifesto, no…	en	Lynchistaan
1225683600558813185	"RT @Memeghnad: Attended a Modi rally, spoke to a lot of people there and saw some Whatsapp forwards come to life in human form.

My #DelhiE…"	en	
